"","BirdID","birthyear","FatScore","age_year","SexEstimate","newlifespan","RightTarsus_z","newstat","avg_invert.x","fatobserver","CatchTime_mins","CatchID","avg_invert.y","Whodunnit","RTL"
"1362",6831,2017,2,4,1,1465,0.743650836562341,"Dom",4.46788579221429,"TO",708,11113,NA,NA,NA
"1363",6831,2017,2,1,1,1465,0.36876490560603,"Sub",5.90194399471429,"TJB",1005,10304,NA,NA,NA
"1364",6831,2017,1,2,1,1465,0.649928906924011,"Sub",2.98437240835714,"TC",540,10758,NA,NA,NA
"1365",6832,2017,1,1,1,1359,1.30598062679531,"Sub",5.90194399471429,"CBC",924,10305,NA,NA,NA
"1366",6834,2017,1,1,1,527,0.556206977285591,"Sub",3.42862364764286,"CD",545,10471,NA,NA,NA
"1367",6834,2017,0,1,1,527,1.49342269847487,"Sub",5.90194399471429,"TJB",556,10308,NA,NA,NA
"1368",6834,2017,1,1,1,527,1.11853676751865,"Sub",3.42862364764286,"TJB",580,10517,NA,NA,NA
"1369",6836,2017,1,1,0,724,0.462486835244449,"Sub",5.90194399471429,"CBC",964,10311,NA,NA,NA
"1370",6836,2017,1,2,0,724,0.462486835244449,"Dom",2.98437240835714,"TJB",925,10732,NA,NA,NA
"1371",6837,2017,1,1,0,1723,-1.13078060581622,"Sub",5.90194399471429,"TJB",958,10314,NA,NA,NA
"1372",6840,2017,2,1,0,1543,-0.287286814265271,"Dom",3.42862364764286,"TJB",618,10453,NA,NA,NA
"1373",6840,2017,2,3,0,1543,-1.03705867617789,"Dom",2.58767040242857,"MAD",510,10903,NA,NA,NA
"1374",6840,2017,1,1,0,1543,-0.755894674859912,"Dom",3.42862364764286,"AVE",712,10484,NA,NA,NA
"1375",6840,2017,3,4,0,1543,-0.849616604498331,"Dom",4.46788579221429,"TO",513,11048,NA,NA,NA
"1376",6841,2017,1,1,1,520,0.743650836562341,"Sub",5.90194399471429,"CBC",510,10318,NA,NA,NA
"1377",6842,2017,0,1,0,892,0.0875991166909504,"Sub",5.90194399471429,"CBC",694,10326,NA,NA,NA
"1378",6844,2017,1,2,1,1802,0.649928906924011,"Sub",2.98437240835714,"TJB",470,10708,NA,NA,NA
"1379",6844,2017,0,4,1,1802,0.556206977285591,"Dom",5.32664501235714,"KL",NA,10981,NA,NA,NA
"1380",6844,2017,1,1,1,1802,0.649928906924011,"Sub",5.90194399471429,"CBC",507,10328,NA,NA,NA
"1381",6844,2017,1,5,1,1802,0.18132104632937,"Dom",4.20351862385714,"AAS",530,11209,NA,NA,NA
"1382",6846,2017,1,1,0,744,0.36876490560603,"Sub",5.90194399471429,"CBC",586,10339,NA,NA,NA
"1383",6846,2017,2,2,0,744,0.462486835244449,"Dom",2.98437240835714,"TJB",720,10767,NA,NA,NA
"1384",6849,2017,1,1,0,1447,-0.38100874390369,"Sub",5.90194399471429,"TJB",704,10344,NA,NA,NA
"1385",6851,2018,1,1,0,1360,-0.662172745221582,"Dom",4.917540181,"EC",600,10882,NA,NA,NA
"1386",6853,2017,1,1,0,285,-1.03705867617789,"Sub",5.90194399471429,"TJB",1021,10363,NA,NA,NA
"1387",6859,2018,2,2,1,1501,0.93109469583909,"Sub",2.58767040242857,"MAD",895,10944,NA,NA,NA
"1388",6859,2018,1,3,1,1501,1.39970255643373,"Dom",4.46788579221429,"TC",NA,11155,NA,NA,NA
"1389",6863,2018,1,1,1,676,0.83737276620067,"Sub",2.98437240835714,"TJB",575,10759,NA,NA,NA
"1390",6868,2018,1,2,1,1671,1.02481483788023,"Dom",2.58767040242857,"TJB",725,10958,NA,NA,NA
"1391",6868,2018,1,4,1,1671,0.18132104632937,"Dom",4.20351862385714,"FS",703,11172,NA,NA,NA
"1392",6868,2018,2,3,1,1671,1.49342269847487,"Dom",4.46788579221429,"TO",670,11117,NA,NA,NA
"1393",6872,2017,1,1,0,341,-1.13078060581622,"Sub",3.42862364764286,"AVE",615,10411,NA,NA,NA
"1394",6873,2017,2,4,0,1439,-0.00612102535019165,"Sub",4.46788579221429,"MJB",621,11034,NA,NA,NA
"1395",6873,2017,2,3,0,1439,0.556206977285591,"Dom",2.58767040242857,"TJB",945,10948,NA,NA,NA
"1396",6873,2017,2,1,0,1439,0.18132104632937,"Sub",3.42862364764286,"AVE",922,10412,NA,NA,NA
"1397",6877,2018,3,1,1,1205,1.58714462811329,"Sub",2.98437240835714,"TJB",985,10772,NA,NA,NA
